asteroid_id,mass,size,velocity,direction_x,direction_y,direction_z,position_x,position_y,position_z,attraction_x,attraction_y,attraction_z
0,9.148417906146314e+17,134.06,11.33,530026.47,925465.37,571458.4,250591.3,630364.26,149352.62,-44206115310.673805,21268490169.49565,-97898069736.24652
1,7.875399623717028e+17,512.82,6.4,674933.72,960475.86,236657.62,690132.17,270336.62,76743.56,30213051051.403984,14871858482.940609,-109870204490.02771
2,1.6843622105306413e+17,545.29,20.48,603351.7,414154.31,272905.55,628225.11,805119.49,342513.74,8911956533.42816,31770636701.830635,-10927931788.700167
3,3.0520020296240755e+17,910.66,17.81,576120.26,67842.43,821213.78,988668.12,719661.21,799065.89,54667806376.733795,13178805991.535528,-795991018.51898
4,5.0590511271384166e+17,725.67,48.19,883087.51,846564.53,76631.4,970103.96,101995.87,120853.52,67343582306.4908,-41891354787.79152,-26465616529.82191
5,9.042794920338022e+17,977.09,36.9,133906.09,491086.19,39949.8,850540.57,176654.9,943699.48,86441436306.97844,-61036104911.94461,113081373326.92505
6,3.568082147649943e+17,582.51,24.79,492523.92,534389.11,928724.58,411946.58,222348.13,468680.65,-11219482202.020369,-25926985162.91014,4931415779.250043
7,1.9893424619911396e+16,127.3,34.71,785589.31,470269.14,702601.76,73139.52,224545.47,454288.83,-2182132238.5368466,-1388733652.265926,-416895225.8849384
8,3.6784209123583456e+17,792.06,48.1,561517.51,594986.09,589923.6,782818.79,171211.89,62083.86,21141351321.351,-35921314194.09935,-47298054338.744446
9,3.5270481525376435e+17,581.78,5.89,95026.03,376899.12,690150.41,420581.67,611398.17,224912.6,-5466738716.4967165,19019040658.488804,-30154094327.359585
10,8.076443365119967e+17,413.23,42.31,388163.46,35778.42,784004.53,75563.5,202331.44,211022.68,-122467619073.05887,-35408529019.74282,-43791795371.671745
11,9.523215064470729e+17,984.03,46.07,287541.97,911470.96,889316.78,924430.82,252999.21,84679.33,250145966806.27783,-41385488233.46759,-190228869976.98773
12,4.151143263129152e+17,670.56,48.77,646368.13,449256.01,70644.76,243091.8,804183.02,180930.28,-20415020949.858604,13783833319.157087,-38278794080.079025
13,4.147018839132576e+17,810.01,48.34,22398.12,210846.3,199299.48,574754.59,251509.92,10088.94,-380157365.8090439,-20464599225.33336,-66634322196.64795
14,3.0016218215801788e+16,255.87,48.16,225420.87,346704.74,831587.63,697721.59,485241.58,332938.36,1495606140.8657048,473251384.4328432,-1860917320.6261122
15,1.912786993725662e+17,704.84,20.65,312914.19,620310.86,523976.95,34536.44,191466.27,942580.58,-31214291295.729057,-12782818010.176815,18660262825.399376
16,5.421713539076259e+17,447.1,9.21,605417.62,573221.13,903027.13,820570.56,180692.39,922192.75,16961429489.083817,-34643640467.66624,52868114351.67198
17,6.137144094007255e+17,72.58,45.76,221089.76,738779.54,576277.28,415374.63,12574.52,105574.32,-8297517103.108419,-79378513129.48413,-52641618625.008514
18,6.238278275184244e+17,15.08,6.31,190554.28,712165.93,23511.28,955491.74,520870.99,132706.42,78354586122.75334,6503692289.841321,-54760346642.49268
19,8.069338918757892e+17,10.26,21.44,289885.46,554340.7,797910.14,473299.09,97942.16,202590.98,-58301643751.08147,-59569223214.77116,-233862298832.2087
20,3.9276115936847277e+17,84.48,28.99,249068.33,515010.86,958795.99,135508.12,959304.54,237658.96,-29230202599.95062,48070094382.90813,-29816038118.82108
21,4.4367321093303104e+17,793.08,20.17,993885.34,275649.01,162822.66,969142.35,359269.15,303628.32,60980290692.317635,-16608684627.886354,-11781150592.074339
22,6.120975428642705e+17,795.83,42.73,608040.33,293154.41,521507.79,907153.0,742532.74,840969.48,44743849673.10045,23159195898.39879,25257801119.81607
23,8.9630951706921e+17,988.05,31.86,140113.59,299708.01,313906.01,130097.05,962896.09,520675.68,-16284452526.19722,120103051462.10078,12370704569.10688
24,1.2812905377674435e+17,623.31,14.44,450949.99,447589.23,819597.96,512031.77,158989.58,138235.43,5636516427.3265,-7625452940.408618,-17411606521.46045
25,1.1976105709174482e+16,338.31,33.83,55485.19,88833.76,767565.64,451092.98,271593.74,664474.62,-69438857.06213476,-671050514.0988764,266650031.0387469
26,4.254136571865336e+17,144.07,24.89,859606.32,777195.18,794156.54,47979.37,565406.18,340154.86,-62447860879.81113,-431003939.47241634,-6805613766.731926
27,3.6386304764076346e+17,388.88,11.82,689891.78,394866.62,475319.63,956122.33,400334.33,982418.42,40330035804.904755,-9422904057.511562,41490774300.33224
28,8.059609127150592e+17,336.84,35.76,181697.75,834610.31,534929.02,850765.46,196133.25,623211.35,40218845081.09369,-65164134239.78853,399048088.19558704
29,8.102925667989192e+17,258.82,37.19,453857.29,888046.71,86167.57,961471.14,53557.68,190211.57,80647132529.94925,-81729142704.16551,-28874886283.164864
30,3.481438075323902e+17,146.02,13.27,636866.12,180318.31,168123.04,819693.46,901420.58,565526.56,21021528518.998074,38127947560.48126,7862108652.650334
31,8.486382153182452e+17,983.75,34.73,582177.36,185779.43,303836.62,137783.22,145.16,543610.46,-41288706477.9046,-111883416252.06375,2576032864.1371455
32,6.701895037106239e+17,536.2,42.81,18572.78,506662.49,615986.92,851947.82,173324.45,451937.57,26654629680.233814,-63340538491.10208,10513297382.469334
33,4.8582914541946726e+17,658.86,11.88,892545.69,381179.22,259605.89,104181.62,849827.21,640364.99,-54897931465.75488,24918489878.688263,18459164275.787895
34,3.46262234642514e+17,79.87,7.39,593418.31,925487.53,83527.57,792267.08,203578.1,158456.88,27808559622.357056,-17950096674.9724,-23303991308.07992
35,8.74786075648562e+17,195.03,24.41,509324.34,668362.99,615913.18,65936.95,268714.43,962945.21,-103727013436.8212,-24405302607.8155,90836164618.64677
36,3.2325001314478765e+17,539.58,6.95,30859.68,723764.81,142019.36,637740.52,371002.88,297613.28,22610798653.57123,-12132136418.9886,-16947699275.199974
37,4.14499928398216e+17,483.55,35.85,854984.81,34350.31,428671.7,334520.7,732270.6,497026.97,-11336028320.360186,16553570573.762566,-6017384864.931051
38,8.264655441887264e+17,392.63,36.49,767533.44,134082.02,130077.41,785113.79,6422.41,694681.26,47826996473.88857,-111884884124.05159,22272953007.16529
39,2.671115432322954e+17,913.21,42.9,528907.49,512413.63,893317.35,435397.0,117151.9,629775.96,-2320412644.180072,-29210688503.175083,10022549976.008602
40,9.552348389785816e+17,563.37,36.6,147293.67,353642.72,751752.06,147869.09,189654.85,231277.17,-68076301004.70677,-53409073616.39385,-27679006628.856533
41,8.807903871850665e+17,128.29,5.91,701477.73,687505.93,870686.05,563195.53,66010.96,275300.94,16812402665.81825,-122384753297.5057,-44858987531.4816
